epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.97783,1.37557,2.65226,3.82277,1.20332,0,0.01841,0.49278,0.01215,0.00744,0.01542,0.45514,0.01156,0.007,0.92928,2.14839,3.57593,0.96587,0,5.001e-05,5.001e-05,5.001e-05
2,12.5025,1.07479,2.14315,3.54961,1.03162,0,0.046,0.95161,0.05086,0.03502,0.046,0.95161,0.05124,0.03153,0.91827,1.75283,3.39715,0.88045,0,0.00011438,0.00011438,0.00011438
3,17.9641,0.98758,1.67099,3.10338,0.91364,0,0.04576,0.97312,0.05759,0.04112,0.04576,0.97312,0.05772,0.04182,0.74048,1.25497,3.39418,0.83705,0,0.000176109,0.000176109,0.000176109
4,23.4972,0.81464,1.3761,2.53755,0.85745,0,0.04334,0.97312,0.2503,0.11994,0.04334,0.97312,0.31131,0.21442,0.75933,1.24364,3.25892,0.82221,0,0.000235197,0.000235197,0.000235197
5,28.9108,0.82125,1.21407,1.84701,0.83526,0,0.04271,0.97312,0.46738,0.27567,0.04271,0.97312,0.51407,0.33962,0.69691,1.39075,2.96766,0.80726,0,0.000291645,0.000291645,0.000291645
6,34.3557,0.80295,1.138,1.52038,0.83913,0,0.04259,0.97312,0.53879,0.35228,0.04259,0.97312,0.58716,0.42841,0.71383,1.20599,2.79779,0.80647,0,0.000345452,0.000345452,0.000345452
7,39.927,0.82497,1.15216,1.25282,0.83904,0,1,0.40429,0.78992,0.53997,1,0.40429,0.79249,0.62786,0.92587,1.0857,2.44959,0.83848,0,0.000396619,0.000396619,0.000396619
8,45.5541,0.82733,1.09272,1.14769,0.84766,0,0.99048,0.55013,0.8173,0.59163,0.99048,0.55013,0.8173,0.63181,0.88453,1.17294,2.19451,0.83163,0,0.000445146,0.000445146,0.000445146
9,50.8127,0.74101,1.03268,1.03367,0.84465,0,0.95286,0.49453,0.82767,0.63951,0.95286,0.49453,0.82767,0.61013,0.78695,1.22847,2.018,0.81976,0,0.000491032,0.000491032,0.000491032
10,56.2369,0.73789,1.06518,0.96504,0.83632,0,0.85935,0.55287,0.82583,0.68183,0.85935,0.55287,0.82583,0.62408,0.72583,1.10418,1.89321,0.81095,0,0.000534277,0.000534277,0.000534277
